date,inflation,gdp,yield,unemployment,industrial,recession
1982-01-01,94.4,-11.070117644748056,1.676,8.6,48.7877,1
1982-02-01,94.7,2.9667447977774892,0.146,8.9,49.7839,1
1982-03-01,94.7,0.9462608723084728,0.547,9.0,49.4477,1
1982-04-01,95.0,2.307994190658208,0.527,9.3,48.9913,1
1982-05-01,95.9,2.9931129456102648,0.909,9.4,48.6669,1
1982-06-01,97.0,-1.3750400255749056,1.221,9.6,48.5415,1
1982-07-01,97.5,-2.229466794021714,2.083,9.8,48.3775,1
1982-08-01,97.7,-3.70511387920372,4.058,9.8,47.9382,1
1982-09-01,97.7,0.075485732859216,4.146,10.1,47.8139,1
1982-10-01,98.1,-0.5143504609166962,2.939,10.4,47.3575,1
1982-11-01,98.0,2.0563983969203754,2.204,10.8,47.2078,1
1982-12-01,97.7,2.414073769083081,2.337,10.8,46.8713,0
1983-01-01,97.9,8.03663326431645,2.34,10.4,47.7398,0
1983-02-01,98.0,3.4544825292549928,2.331,10.4,47.4484,0
1983-03-01,98.1,9.252099908557101,1.847,10.3,47.8426,0
1983-04-01,98.8,9.963230186127133,1.886,10.2,48.4483,0
1983-05-01,99.2,9.86369530311159,1.884,10.1,48.747,0
1983-06-01,99.4,9.429217406371885,1.709,10.1,49.0434,0
1983-07-01,99.8,6.974841061855171,1.927,9.4,49.7739,0
1983-08-01,100.1,6.02134834478895,2.107,9.5,50.364,0
1983-09-01,100.4,9.520831456007924,2.292,9.2,51.0937,0
1983-10-01,100.8,8.684006799623967,2.553,8.8,51.4902,0
1983-11-01,101.1,7.782309698056115,2.579,8.5,51.721,0
1983-12-01,101.4,7.674455121061069,2.472,8.3,51.9769,0
1984-01-01,102.1,8.7127592814614,2.41,8.0,53.0088,0
1984-02-01,102.6,7.236262565219357,2.383,7.8,53.2486,0
1984-03-01,102.9,5.9276474731282205,2.43,7.8,53.5028,0
1984-04-01,103.3,7.430915413623326,2.56,7.7,53.8233,0
1984-05-01,103.5,7.289646015047614,3.185,7.4,54.1104,0
1984-06-01,103.7,5.738874048675949,3.302,7.2,54.3075,0
1984-07-01,104.1,3.0694640367227457,2.831,7.5,54.4587,0
1984-08-01,104.4,2.4811528424826093,1.816,7.5,54.5239,0
1984-09-01,104.7,1.6021153423875156,1.727,7.3,54.3696,0
1984-10-01,105.1,3.26816488117523,2.036,7.4,54.3474,0
1984-11-01,105.3,5.005926469003096,2.648,7.2,54.529,0
1984-12-01,105.5,3.9106586291028673,3.162,7.3,54.5556,0
1985-01-01,105.7,3.5223975108252397,3.364,7.3,54.527,0
1985-02-01,106.3,3.672960837259416,2.952,7.2,54.6871,0
1985-03-01,106.8,3.965969119869588,3.025,7.2,54.7673,0
1985-04-01,107.0,1.9095121125093304,3.213,7.3,54.6467,0
1985-05-01,107.2,4.824450242282584,3.114,7.2,54.7396,0
1985-06-01,107.5,4.590077230976604,2.976,7.4,54.711,0
1985-07-01,107.7,6.912354995525461,2.99,7.4,54.4365,0
1985-08-01,107.9,7.980172996056846,2.961,7.1,54.6121,0
1985-09-01,108.1,3.8502314078084714,3.04,7.1,54.8147,0
1985-10-01,108.5,0.2959504794202691,2.836,7.1,54.6228,0
1985-11-01,109.0,2.816142108766998,2.305,7.0,54.8123,0
1985-12-01,109.5,4.477750849517572,1.929,7.0,55.3553,0
1986-01-01,109.9,6.515430725936289,1.892,6.7,55.6453,0
1986-02-01,109.7,0.9767755172112408,1.414,7.2,55.2634,0
1986-03-01,109.1,0.1713651388803985,1.014,7.2,54.8728,0
1986-04-01,108.7,2.8722905767581257,1.064,7.1,54.935,0
